x,y,t,p
91,105,402300290,-1
76,105,402300310,1
57,127,402300312,1
92,147,402300378,-1
87,178,402300393,-1
56,155,402300453,-1
92,95,402300489,1
74,79,402300490,1
88,139,402300497,-1
78,173,402300558,-1
91,99,402300585,1
43,62,402300586,1
58,150,402300609,-1
94,140,402300615,-1
67,172,402300623,-1
92,100,402300669,1
110,104,402300703,-1
121,107,402300710,-1
79,161,402300714,-1
70,61,402300764,1
83,131,402300796,-1
111,111,402300800,-1
94,101,402300801,-1
60,145,402300803,-1
107,125,402300804,-1
85,106,402300853,1
88,159,402300854,-1
91,136,402300885,-1
79,157,402300890,-1
85,107,402300902,-1
87,132,402300904,-1
84,106,402300908,1
67,85,402300909,-1
55,153,402300976,-1
61,76,402300978,1
53,132,402300983,-1
19,156,402300989,-1
74,103,402301038,1
25,131,402301131,-1
73,102,402301132,1
57,113,402301202,1
113,109,402301236,-1
47,61,402301245,1
42,159,402301258,-1
53,116,402301300,-1
37,168,402301301,-1
65,147,402301301,-1
96,98,402301303,-1
83,108,402301304,-1
78,155,402301304,-1
89,106,402301324,-1
89,104,402301326,-1
101,109,402301344,-1
72,102,402301379,1
42,65,402301404,1
59,74,402301405,1
81,146,402301468,-1
86,108,402301470,-1
41,65,402301515,1
60,174,402301550,-1
97,132,402301554,-1
46,123,402301555,-1
104,139,402301576,-1
81,131,402301630,-1
78,157,402301711,-1
94,103,402301712,-1
28,125,402301721,-1
87,107,402301722,-1
53,85,402301747,-1
60,56,402301750,1
59,56,402301794,1
87,158,402301799,-1
61,150,402301812,-1
55,152,402301812,-1
62,73,402301843,1
92,91,402301877,-1
92,91,402301880,-1
90,155,402301901,-1
95,136,402301902,-1
47,173,402301905,-1
79,104,402301954,1
78,107,402301978,-1
43,65,402302011,1
95,100,402302055,-1
94,89,402302106,1
84,147,402302111,-1
37,169,402302139,-1
46,66,402302145,1
76,170,402302166,-1
92,92,402302185,1
109,143,402302208,-1
117,134,402302209,-1
96,99,402302210,-1
59,173,402302216,-1
87,168,402302232,-1
97,97,402302232,-1
82,106,402302255,1
118,119,402302298,-1
85,105,402302353,1
113,153,402302368,1
77,145,402302383,-1
67,160,402302389,-1
49,172,402302392,-1
98,135,402302394,-1
42,70,402302424,1
73,104,402302446,1
53,60,402302463,1
81,106,402302464,1
83,147,402302565,-1
71,156,402302586,-1
97,121,402302660,-1
50,64,402302699,1
87,105,402302703,1
91,97,402302754,1
77,150,402302754,-1
46,61,402302808,1
105,111,402302821,-1
89,103,402302857,-1
85,104,402302868,1
72,156,402302875,-1
91,89,402302941,1
57,57,402302955,1
69,60,402303003,1
88,104,402303005,1
39,164,402303014,-1
81,161,402303016,-1
122,133,402303083,1
80,142,402303189,-1
97,96,402303189,-1
76,140,402303198,-1
75,104,402303236,1
54,165,402303239,-1
80,153,402303290,-1
115,93,402303293,-1
43,61,402303302,1
51,58,402303308,1
122,132,402303332,-1
69,63,402303349,1
87,113,402303373,-1
50,125,402303405,1
86,159,402303405,-1
93,97,402303409,1
55,147,402303414,-1
55,149,402303466,-1
77,144,402303467,-1
82,164,402303468,-1
94,142,402303469,-1
22,149,402303587,-1
110,2,402303601,-1
71,60,402303609,1
63,56,402303610,1
94,101,402303639,-1
97,98,402303644,-1
94,94,402303670,1
92,93,402303673,-1
45,60,402303693,1
96,98,402303731,-1
90,105,402303733,-1
58,73,402303761,1
58,56,402303764,1
51,65,402303783,1
93,102,402303823,-1
92,94,402303881,1
50,62,402303882,1
86,105,402303904,1
91,144,402303920,-1
87,161,402304012,-1
85,107,402304028,-1
80,149,402304032,-1
93,96,402304046,-1
107,126,402304071,-1
63,77,402304072,1
112,150,402304079,-1
62,74,402304085,1
94,102,402304104,-1
82,131,402304187,-1
111,106,402304195,-1
86,107,402304198,-1
47,166,402304199,-1
59,152,402304201,-1
56,56,402304371,1
54,86,402304389,-1
70,66,402304457,1
90,102,402304521,1
88,136,402304531,-1
88,106,402304585,-1
87,106,402304652,-1
91,90,402304698,1
54,60,402304702,1
75,168,402304729,-1
83,150,402304760,-1
86,103,402304806,1
73,165,402304817,-1
76,106,402304818,-1
103,117,402304848,1
79,105,402304870,1
45,145,402304876,1
84,108,402304920,-1
57,72,402304949,1
70,60,402305002,1
91,102,402305017,1
95,99,402305020,-1
71,97,402305104,1
83,107,402305112,-1
83,104,402305141,1
53,149,402305152,-1
40,65,402305178,1
92,178,402305179,1
93,98,402305188,1
82,108,402305191,-1
83,148,402305225,-1
39,66,402305226,1
91,98,402305249,1
63,78,402305276,1
53,155,402305310,-1
81,107,402305314,-1
75,169,402305323,-1
115,108,402305365,-1
76,143,402305409,-1
82,104,402305469,1
62,94,402305501,-1
79,107,402305502,-1
56,154,402305512,-1
18,173,402305517,1
61,56,402305527,1
95,100,402305589,-1
77,107,402305596,-1
62,155,402305598,-1
94,143,402305599,-1
114,143,402305602,-1
80,107,402305621,-1
109,154,402305681,-1
90,106,402305688,-1
71,69,402305741,1
47,159,402305759,-1
69,59,402305823,1
95,134,402305824,-1
92,89,402305825,1
55,59,402305878,1
87,102,402305879,1
96,100,402305933,-1
58,172,402305940,-1
95,176,402305942,-1
91,104,402305953,-1
77,105,402305962,1
66,148,402305963,-1
33,140,402305968,-1
92,88,402305969,1
122,131,402306000,1
94,100,402306020,-1
96,99,402306028,-1
90,143,402306032,-1
38,166,402306036,-1
88,161,402306076,-1
44,153,402306085,-1
55,161,402306115,-1
44,60,402306150,1
72,73,402306156,-1
57,56,402306161,1
90,103,402306174,1
96,98,402306203,-1
81,150,402306211,-1
56,88,402306211,-1
47,177,402306214,-1
117,104,402306215,-1
99,114,402306229,-1
96,97,402306290,-1
83,106,402306322,1
56,71,402306334,1
54,149,402306341,-1
111,145,402306354,1
84,107,402306392,-1
89,105,402306396,-1
45,158,402306470,-1
120,102,402306478,-1
88,103,402306534,1
88,163,402306591,-1
65,155,402306617,-1
115,105,402306643,-1
36,173,402306732,-1
35,165,402306735,-1
21,152,402306737,-1
27,96,402306743,-1
110,2,402306772,-1
54,122,402306773,1
80,154,402306789,-1
43,155,402306815,-1
80,106,402306816,1
92,103,402306817,-1
85,158,402306819,-1
74,168,402306820,-1
43,65,402306824,1
78,107,402306825,-1
89,141,402306826,-1
56,58,402306869,1
12,157,402306890,-1
88,154,402306914,-1
74,131,402306961,-1
40,166,402307005,-1
93,127,402307012,-1
92,100,402307021,1
13,162,402307120,-1
79,106,402307138,1
82,178,402307151,-1
75,103,402307166,1
93,144,402307196,-1
91,101,402307232,1
78,159,402307236,-1
122,100,402307240,-1
96,126,402307273,-1
85,146,402307285,-1
88,148,402307291,-1
60,74,402307378,1
61,55,402307420,1
46,60,402307430,1
82,107,402307433,-1
40,164,402307436,-1
152,53,402307442,-1
99,101,402307444,-1
81,140,402307446,-1
127,97,402307447,-1
121,129,402307448,-1
79,20,402307488,-1
87,103,402307503,1
52,175,402307529,-1
93,143,402307531,-1
87,167,402307532,-1
81,162,402307533,-1
97,95,402307536,-1
71,155,402307622,-1
50,151,402307652,1
73,157,402307703,-1
95,99,402307705,-1
103,159,402307709,-1
80,150,402307717,-1
93,111,402307737,-1
92,90,402307741,1
72,60,402307764,1
83,105,402307783,1
36,177,402307797,-1
57,89,402307797,-1
122,110,402307806,-1
26,130,402307807,-1
84,141,402307817,-1
72,100,402307828,1
80,147,402307858,-1
96,93,402307883,-1
90,104,402307884,-1
67,152,402307886,-1
99,98,402307890,-1
19,159,402307892,-1
41,160,402307909,-1
114,138,402307969,-1
74,102,402308042,1
110,153,402308054,-1
81,145,402308062,-1
71,160,402308129,-1
91,103,402308142,-1
41,64,402308170,1
59,73,402308198,1
76,104,402308250,1
82,105,402308259,1
42,61,402308267,1
50,149,402308271,1
87,106,402308277,-1
33,141,402308285,-1
89,102,402308342,1
47,164,402308367,-1
53,116,402308373,-1
91,91,402308394,-1
62,75,402308402,1
81,107,402308442,-1
88,105,402308445,-1
81,141,402308452,-1
77,149,402308525,-1
88,132,402308530,-1
81,104,402308549,1
43,60,402308641,1
87,104,402308676,-1
87,104,402308677,-1
86,104,402308683,1
92,99,402308694,1
111,146,402308703,-1
81,106,402308708,1
99,144,402308714,-1
78,104,402308747,1
49,142,402308748,1
85,105,402308830,1
42,64,402308833,1
59,55,402308838,1
84,104,402308844,1
84,105,402308849,1
45,122,402308914,-1
81,105,402308944,-1
78,105,402308953,1
66,147,402308974,-1
93,94,402308999,1
54,69,402309021,1
72,101,402309029,1
80,107,402309055,-1
62,154,402309055,-1
144,141,402309062,-1
69,88,402309067,-1
91,94,402309110,1
94,101,402309135,-1
62,176,402309165,-1
71,100,402309168,1
83,107,402309210,-1
94,100,402309212,-1
80,105,402309212,1
91,123,402309214,-1
89,171,402309226,-1
118,21,402309254,-1
91,95,402309268,1
91,89,402309270,1
73,102,402309299,1
96,97,402309304,-1
41,168,402309308,-1
88,104,402309355,1
79,107,402309385,-1
71,162,402309408,-1
72,74,402309429,1
70,59,402309494,1
71,59,402309522,1
43,73,402309561,-1
85,107,402309563,-1
92,137,402309566,-1
85,162,402309578,-1
39,65,402309589,1
48,155,402309600,-1
96,98,402309640,-1
93,101,402309642,-1
153,146,402309649,-1
81,152,402309655,-1
43,156,402309659,-1
64,58,402309681,1
93,88,402309687,1
76,103,402309696,1
87,147,402309750,-1
81,113,402309763,1
92,95,402309781,1
110,2,402309808,-1
92,98,402309808,1
79,156,402309809,-1
119,112,402309810,-1
44,167,402309812,-1
78,164,402309816,-1
58,55,402309889,1
54,151,402309911,-1
52,148,402309912,-1
93,102,402309915,-1
86,106,402309920,-1
90,101,402310017,1
24,138,402310045,-1
83,103,402310046,1
47,140,402310087,-1
77,153,402310124,-1
47,142,402310171,-1
88,141,402310173,-1
55,170,402310178,-1
93,89,402310225,1
93,95,402310244,1
77,104,402310251,1
51,61,402310252,1
76,106,402310268,-1
92,96,402310273,1
88,109,402310276,-1
93,99,402310298,1
77,155,402310328,-1
77,154,402310335,-1
113,101,402310338,-1
67,147,402310339,-1
45,155,402310340,-1
95,101,402310341,-1
104,165,402310418,-1
94,126,402310447,-1
34,157,402310459,-1
51,125,402310483,1
22,147,402310510,-1
4,137,402310518,-1
92,97,402310564,1
40,64,402310587,1
85,147,402310598,-1
55,87,402310602,-1
111,122,402310612,-1
52,147,402310613,-1
81,108,402310621,-1
45,59,402310633,1
66,153,402310698,-1
78,86,402310701,-1
95,99,402310704,-1
73,164,402310707,-1
114,106,402310754,-1
80,104,402310783,-1
92,88,402310784,1
66,134,402310792,-1
110,130,402310793,-1
53,172,402310793,-1
84,103,402310835,1
112,110,402310846,-1
55,70,402310899,1
39,67,402310927,1
56,57,402310957,1
87,144,402310964,-1
86,156,402310970,-1
69,58,402310989,1
82,103,402310992,1
61,75,402311004,1
58,72,402311076,1
44,166,402311090,-1
95,98,402311123,-1
93,97,402311124,1
76,153,402311144,-1
91,100,402311158,1
48,174,402311182,-1
7,140,402311228,-1
92,138,402311260,-1
74,103,402311268,1
37,168,402311302,-1
25,132,402311315,-1
93,103,402311352,-1
68,60,402311371,1
48,138,402311403,-1
36,170,402311403,-1
91,92,402311472,-1
76,149,402311478,-1
51,144,402311482,-1
96,131,402311488,-1
60,148,402311533,-1
89,103,402311547,1
105,121,402311558,1
98,138,402311565,-1
70,158,402311567,-1
95,100,402311572,-1
38,172,402311572,-1
67,171,402311573,-1
86,112,402311580,-1
39,165,402311590,-1
57,55,402311611,1
85,144,402311648,-1
86,109,402311660,-1
102,160,402311661,-1
92,89,402311688,1
74,105,402311692,-1
92,94,402311734,1
71,161,402311735,-1
67,149,402311743,-1
73,78,402311759,1
57,126,402311771,1
90,102,402311772,1
44,169,402311805,-1
71,159,402311822,-1
74,154,402311824,-1
12,158,402311826,-1
49,173,402311827,-1
75,150,402311829,-1
76,172,402311831,-1
78,85,402311842,-1
91,91,402311896,-1
84,154,402311921,-1
88,144,402311921,-1
63,154,402311923,-1
56,170,402311926,-1
114,148,402311927,-1
68,61,402311928,1
78,107,402311930,-1
54,150,402311931,-1
79,145,402311952,-1
85,106,402312001,-1
82,107,402312007,-1
74,155,402312017,-1
40,167,402312018,-1
73,166,402312037,-1
97,97,402312092,-1
104,112,402312097,-1
103,164,402312103,-1
40,162,402312123,-1
93,109,402312183,-1
53,164,402312190,-1
76,150,402312213,-1
51,143,402312274,-1
75,170,402312314,-1
91,96,402312340,1
73,177,402312361,-1
95,177,402312361,-1
78,145,402312367,-1
57,71,402312374,1
42,60,402312429,1
88,135,402312436,-1
74,149,402312437,-1
87,105,402312440,-1
51,63,402312466,1
77,106,402312520,-1
75,141,402312527,-1
84,156,402312530,-1
67,153,402312543,-1
60,55,402312569,1
43,64,402312576,1
22,141,402312624,-1
79,105,402312707,1
47,157,402312720,-1
85,138,402312807,-1
81,107,402312808,-1
34,158,402312852,-1
52,61,402312865,1
94,100,402312870,-1
80,151,402312888,-1
84,145,402312896,-1
122,134,402312999,-1
94,89,402313008,1
73,69,402313068,-1
79,148,402313069,-1
97,179,402313071,-1
66,154,402313075,-1
53,128,402313076,-1
110,2,402313116,-1
48,137,402313152,-1
78,103,402313156,1
67,148,402313161,-1
67,151,402313239,-1
49,60,402313317,1
47,161,402313332,-1
96,97,402313423,-1
54,174,402313424,-1
39,179,402313427,-1
108,160,402313456,1
91,90,402313472,1
67,150,402313513,-1
94,99,402313520,-1
89,152,402313522,-1
39,163,402313536,-1
78,148,402313565,-1
90,88,402313581,1
49,143,402313582,1
89,100,402313588,-1
89,100,402313590,-1
26,129,402313621,-1
95,98,402313631,-1
81,103,402313636,-1
73,103,402313648,1
43,59,402313659,1
56,143,402313693,-1
72,154,402313700,-1
88,103,402313726,1
52,160,402313759,-1
45,172,402313765,1
85,161,402313783,-1
62,76,402313787,1
68,155,402313790,-1
75,102,402313828,1
88,105,402313845,-1
86,162,402313883,-1
89,144,402313889,-1
67,159,402313908,-1
77,151,402313909,-1
75,82,402313967,-1
82,135,402313968,-1
59,150,402313975,-1
67,145,402313977,-1
100,133,402314079,-1
61,73,402314090,1
90,142,402314101,-1
80,107,402314141,-1
89,104,402314148,-1
56,71,402314182,1
120,100,402314205,-1
73,167,402314219,-1
88,102,402314281,-1
41,63,402314291,1
53,116,402314330,-1
11,152,402314352,1
91,101,402314369,1
110,108,402314406,-1
86,145,402314407,-1
50,165,402314411,-1
39,64,402314472,1
82,105,402314472,1
90,104,402314489,-1
93,100,402314499,-1
86,106,402314507,-1
78,160,402314508,-1
89,121,402314508,1
108,108,402314526,-1
48,58,402314538,1
60,74,402314567,1
85,112,402314613,-1
93,98,402314628,1
96,96,402314692,-1
86,104,402314724,1
68,59,402314769,1
91,103,402314779,-1
111,105,402314808,-1
46,59,402314824,1
52,60,402314830,1
50,61,402314847,1
50,155,402314877,-1
56,55,402314898,1
114,101,402314903,-1
44,59,402314935,1
47,127,402314956,-1
77,84,402314956,-1
35,172,402314968,-1
85,106,402314971,-1
111,110,402314973,-1
83,106,402314977,-1
77,103,402314996,1
105,157,402315033,-1
95,97,402315035,-1
70,67,402315163,1
74,164,402315173,-1
86,102,402315204,1
75,140,402315230,-1
48,61,402315307,1
89,102,402315309,1
88,104,402315315,-1
90,103,402315316,-1
114,104,402315316,-1
75,133,402315349,-1
27,96,402315352,-1
109,158,402315394,1
81,106,402315403,-1
120,112,402315405,-1
42,157,402315408,-1
95,175,402315409,-1
81,105,402315447,1
48,131,402315458,-1
80,170,402315481,-1
94,91,402315505,-1
85,104,402315522,1
25,138,402315587,-1
39,164,402315589,-1
33,142,402315590,-1
93,101,402315592,-1
78,105,402315614,1
92,125,402315680,-1
90,100,402315709,1
85,103,402315733,1
67,58,402315745,1
85,155,402315770,-1
49,62,402315882,1
86,160,402315911,-1
77,173,402315927,-1
78,106,402315934,-1
47,56,402315999,1
91,92,402316010,-1
75,103,402316011,1
57,54,402316040,1
121,137,402316054,1
76,104,402316062,1
121,136,402316067,1
89,101,402316076,1
79,106,402316115,-1
67,143,402316117,-1
87,162,402316122,-1
58,54,402316152,1
42,59,402316159,1
86,166,402316163,-1
40,63,402316164,1
72,165,402316197,-1
65,146,402316204,-1
87,103,402316250,1
110,2,402316292,-1
88,152,402316298,-1
60,156,402316299,-1
70,99,402316320,-1
91,99,402316320,1
91,93,402316349,1
80,105,402316361,1
90,101,402316404,1
91,88,402316474,1
77,106,402316474,-1
48,79,402316480,-1
93,126,402316482,-1
50,63,402316509,1
125,103,402316569,-1
83,105,402316602,1
117,97,402316618,-1
42,64,402316620,1
79,160,402316645,-1
79,104,402316658,1
67,146,402316699,-1
115,144,402316725,-1
85,102,402316726,1
55,155,402316730,-1
84,106,402316733,-1
117,105,402316735,-1
41,159,402316810,-1
51,147,402316848,-1
94,99,402316890,-1
95,98,402316897,-1
75,105,402316908,-1
76,146,402316959,-1
83,115,402316961,1
82,162,402317123,-1
75,104,402317126,1
72,77,402317136,1
92,87,402317142,1
87,105,402317167,-1
107,120,402317192,-1
107,120,402317193,-1
92,99,402317208,1
85,105,402317244,-1
95,99,402317253,-1
94,177,402317261,-1
79,103,402317322,1
118,107,402317346,-1
95,97,402317423,-1
93,99,402317512,-1
111,104,402317527,-1
12,159,402317571,-1
71,71,402317605,1
71,72,402317612,1
80,106,402317618,-1
1,3,402317643,-1
97,117,402317685,1
47,169,402317686,1
51,154,402317699,1
50,145,402317708,-1
56,153,402317722,-1
39,63,402317752,1
94,98,402317799,-1
110,101,402317808,-1
93,144,402317810,-1
86,105,402317814,-1
50,123,402317816,-1
91,91,402317825,-1
45,143,402317889,1
58,90,402317894,-1
71,58,402317902,1
124,97,402317998,-1
83,106,402318001,-1
76,102,402318007,1
84,104,402318030,1
55,55,402318036,1
59,54,402318040,1
47,60,402318046,1
92,93,402318072,1
65,57,402318081,1
53,67,402318113,1
91,100,402318163,1
79,162,402318172,-1
68,154,402318180,-1
60,69,402318228,1
91,102,402318281,-1
44,58,402318293,1
107,161,402318333,1
71,101,402318337,1
92,95,402318393,1
93,88,402318402,1
56,70,402318403,1
113,152,402318414,1
81,130,402318450,-1
45,157,402318460,-1
59,91,402318462,-1
79,144,402318537,-1
42,63,402318569,1
96,141,402318570,-1
76,107,402318618,-1
75,157,402318619,-1
111,101,402318622,-1
57,71,402318657,1
93,100,402318709,-1
62,147,402318712,-1
51,146,402318721,-1
30,122,402318721,-1
99,132,402318731,-1
90,99,402318770,1
19,162,402318809,-1
86,146,402318813,-1
86,103,402318831,1
107,144,402318831,-1
93,143,402318855,-1
56,139,402318901,-1
103,130,402318903,-1
34,143,402318904,-1
13,163,402318905,-1
77,104,402318936,1
71,99,402318968,1
81,106,402318988,-1
112,133,402319018,-1
70,58,402319023,1
41,60,402319033,1
84,142,402319079,-1
33,144,402319079,-1
67,175,402319084,-1
91,124,402319089,-1
105,102,402319156,-1
51,82,402319169,-1
113,103,402319172,-1
92,102,402319173,-1
75,164,402319177,-1
52,58,402319219,1
34,159,402319253,-1
56,54,402319307,1
61,74,402319308,1
73,154,402319338,-1
47,137,402319339,-1
75,134,402319349,-1
95,92,402319426,-1
65,154,402319465,-1
96,94,402319516,-1
37,167,402319610,-1
76,103,402319659,1
110,2,402319698,-1
87,155,402319707,-1
108,106,402319712,-1
79,106,402319714,-1
50,60,402319735,1
88,151,402319748,-1
54,121,402319782,1
55,146,402319802,-1
57,59,402319946,1
74,104,402319970,-1
82,106,402319971,-1
52,66,402320047,1
93,99,402320073,-1
49,130,402320073,-1
78,106,402320078,-1
76,105,402320079,-1
41,63,402320082,1
82,104,402320145,1
94,98,402320158,-1
153,151,402320172,-1
67,59,402320211,1
83,104,402320212,1
68,57,402320235,1
89,103,402320246,-1
95,97,402320250,-1
91,98,402320287,1
57,171,402320332,-1
90,88,402320336,1
72,78,402320445,1
91,97,402320465,1
92,98,402320478,1
35,173,402320523,-1
87,100,402320568,1
35,179,402320568,1
78,104,402320579,1
45,58,402320604,1
91,101,402320608,-1
85,105,402320611,-1
95,96,402320624,-1
61,175,402320629,-1
121,125,402320630,1
92,96,402320658,1
50,58,402320692,1
74,102,402320713,1
81,104,402320755,1
82,102,402320761,1
68,62,402320769,1
90,97,402320793,1
92,101,402320811,-1
81,102,402320811,1
88,101,402320843,1
87,154,402320923,-1
92,150,402320943,-1
69,57,402320948,1
55,54,402320964,1
49,61,402320978,1
88,104,402320984,-1
82,114,402321049,1
80,103,402321065,1
69,176,402321105,-1
94,100,402321188,-1
47,139,402321199,-1
91,87,402321206,-1
119,141,402321217,1
76,148,402321228,-1
73,101,402321232,1
87,102,402321260,1
42,62,402321270,1
38,65,402321306,1
41,59,402321309,1
91,88,402321314,1
35,178,402321343,1
41,67,402321347,1
46,126,402321350,1
66,59,402321429,-1
122,128,402321464,1
88,147,402321472,-1
75,105,402321509,-1
52,125,402321510,1
68,58,402321544,1
47,170,402321562,1
53,123,402321579,1
65,171,402321645,-1
62,153,402321650,-1
59,67,402321687,1
74,101,402321699,1
80,104,402321720,-1
91,92,402321721,-1
92,88,402321738,1
88,165,402321743,-1
74,167,402321744,-1
53,116,402321768,-1
57,58,402321819,1
92,149,402321823,-1
76,106,402321830,-1
72,162,402321833,-1
80,106,402321859,-1
77,102,402321860,1
46,176,402321871,-1
42,58,402321909,1
94,99,402321977,-1
77,152,402322013,-1
89,101,402322066,1
49,166,402322115,-1
77,106,402322124,-1
71,100,402322139,1
106,165,402322140,1
102,106,402322168,-1
88,169,402322194,-1
85,145,402322210,-1
46,160,402322211,-1
75,149,402322211,-1
125,114,402322226,-1
40,62,402322246,1
23,178,402322301,-1
55,157,402322315,1
79,88,402322317,-1
69,65,402322331,1
49,141,402322338,1
96,95,402322391,-1
21,150,402322395,-1
85,101,402322464,1
53,150,402322482,-1
73,104,402322510,-1
83,105,402322561,-1
79,108,402322571,-1
65,152,402322573,-1
85,103,402322643,1
47,57,402322648,1
95,95,402322649,-1
89,143,402322651,-1
34,175,402322661,-1
107,114,402322663,-1
49,80,402322664,-1
27,96,402322673,-1
88,155,402322685,-1
90,95,402322724,1
45,121,402322748,-1
72,127,402322749,-1
85,159,402322754,-1
94,98,402322829,-1
29,123,402322829,-1
88,102,402322883,-1
86,149,402322906,-1
75,106,402322918,-1
91,145,402322943,-1
35,166,402322944,-1
58,148,402322960,-1
109,108,402323002,-1
110,2,402323010,-1
96,97,402323011,-1
74,165,402323077,-1
70,57,402323127,1
84,102,402323128,1
95,97,402323184,-1
90,103,402323185,-1
84,140,402323189,-1
25,131,402323219,-1
38,63,402323232,1
95,98,402323269,-1
96,96,402323277,-1
60,54,402323314,1
55,60,402323354,1
84,103,402323437,1
97,147,402323443,-1
93,98,402323446,-1
71,178,402323549,-1
112,144,402323554,-1
91,95,402323581,1
50,164,402323611,-1
73,103,402323612,-1
67,144,402323613,-1
90,102,402323614,-1
81,106,402323615,-1
104,130,402323619,-1
84,157,402323620,-1
155,110,402323621,-1
57,155,402323623,-1
39,62,402323676,1
94,97,402323697,-1
95,96,402323753,-1
57,53,402323757,1
110,142,402323763,-1
83,159,402323768,-1
14,136,402323780,-1
92,100,402323842,-1
41,62,402323877,1
93,99,402323921,-1
88,164,402323925,-1
44,170,402323926,-1
76,105,402323928,-1
83,106,402323942,-1
50,172,402323956,-1
55,56,402323994,1
87,104,402324012,-1
44,161,402324013,-1
96,146,402324015,-1
93,140,402324017,-1
78,144,402324017,-1
90,94,402324034,1
67,60,402324045,1
99,178,402324097,-1
112,109,402324104,-1
33,148,402324148,-1
99,136,402324186,-1
28,124,402324194,-1
92,97,402324265,1
77,85,402324297,-1
91,99,402324386,1
43,57,402324398,1
75,103,402324486,1
91,94,402324498,1
83,102,402324527,1
90,100,402324552,1
90,87,402324558,1
90,89,402324564,1
71,76,402324611,1
59,173,402324622,-1
58,71,402324666,1
110,157,402324685,1
80,148,402324718,-1
70,68,402324753,1
46,171,402324763,1
119,140,402324871,-1
59,72,402324883,1
54,68,402324904,1
65,151,402324911,-1
91,146,402324914,-1
97,137,402324916,-1
112,95,402324953,-1
60,70,402324956,1
54,61,402324963,1
106,120,402324971,1
92,99,402325001,-1
96,93,402325005,-1
108,143,402325009,-1
75,148,402325043,-1
49,155,402325108,-1
56,53,402325112,1
56,70,402325124,1
14,166,402325138,-1
67,57,402325150,1
82,145,402325182,-1
86,105,402325264,-1
80,139,402325267,-1
78,137,402325268,-1
93,100,402325269,-1
76,138,402325311,-1
75,101,402325348,-1
84,105,402325392,-1
72,101,402325399,1
79,104,402325427,1
57,172,402325431,-1
53,125,402325435,1
82,106,402325437,-1
55,153,402325455,-1
65,96,402325506,-1
41,169,402325510,-1
50,155,402325517,-1
36,170,402325523,-1
98,97,402325524,-1
91,101,402325551,-1
57,70,402325562,1
120,138,402325569,-1
83,105,402325604,-1
93,98,402325607,-1
104,149,402325609,-1
95,109,402325611,-1
53,84,402325641,-1
80,171,402325688,-1
90,144,402325696,-1
44,57,402325735,1
76,147,402325773,-1
75,135,402325777,-1
77,105,402325779,-1
111,151,402325786,-1
93,142,402325798,-1
43,154,402325814,-1
51,59,402325828,1
49,57,402325829,1
93,177,402325856,-1
79,106,402325881,-1
58,53,402325890,1
85,140,402325937,-1
95,95,402325943,-1
81,151,402325954,-1
77,104,402325955,1
45,159,402326011,-1
119,15,402326020,-1
128,97,402326021,-1
52,172,402326027,-1
26,128,402326106,-1
109,103,402326108,-1
39,163,402326111,-1
73,156,402326111,-1
67,155,402326112,-1
86,155,402326115,-1
86,102,402326119,1
33,151,402326136,-1
77,158,402326160,-1
92,94,402326172,1
65,153,402326197,-1
33,149,402326198,-1
73,102,402326267,1
94,97,402326275,-1
102,167,402326276,1
87,101,402326280,1
76,151,402326287,-1
79,167,402326288,-1
78,104,402326318,1
11,133,402326319,1
110,2,402326342,-1
81,105,402326367,-1
75,104,402326374,-1
41,171,402326376,-1
106,103,402326378,-1
97,131,402326378,-1
79,154,402326381,-1
48,57,402326415,1
86,142,402326435,-1
90,98,402326507,1
82,103,402326522,1
86,154,402326532,-1
85,160,402326541,-1
40,161,402326543,-1
110,102,402326630,-1
59,53,402326647,1
88,153,402326716,-1
85,105,402326717,-1
91,86,402326717,-1
38,166,402326719,-1
4,144,402326756,-1
44,152,402326803,-1
95,117,402326837,1
81,147,402326875,-1
78,105,402326901,-1
106,134,402326907,-1
73,162,402326910,-1
75,142,402326911,-1
77,157,402326933,-1
70,161,402326996,-1
14,164,402326998,-1
62,138,402326999,-1
110,105,402327021,-1
41,58,402327108,1
79,102,402327164,1
95,96,402327173,-1
88,146,402327174,-1
78,158,402327178,-1
41,176,402327246,1
95,132,402327254,-1
43,155,402327265,-1
78,103,402327271,1
88,103,402327291,-1
72,76,402327293,1
57,154,402327301,-1
74,104,402327310,-1
92,95,402327322,1
75,160,402327336,-1
87,163,402327342,-1
80,102,402327360,1
90,96,402327365,1
91,93,402327416,1
83,103,402327425,1
86,104,402327430,-1
127,118,402327433,-1
101,116,402327446,1
90,99,402327499,1
58,128,402327516,-1
68,156,402327519,-1
85,163,402327647,-1
77,103,402327648,1
89,100,402327691,-1
81,149,402327705,-1
80,104,402327735,-1
84,155,402327751,-1
60,73,402327760,1
85,164,402327793,-1
42,57,402327795,1
75,143,402327812,-1
77,156,402327814,-1
91,96,402327830,1
92,144,402327859,-1
92,92,402327881,1
52,155,402327899,-1
34,174,402327902,-1
33,150,402327902,-1
70,69,402327918,1
50,150,402327948,1
92,87,402327981,1
87,169,402327988,-1
82,105,402327993,-1
93,143,402327996,-1
44,164,402328009,-1
53,116,402328031,-1
66,56,402328032,1
72,100,402328045,1
80,168,402328082,-1
76,169,402328085,-1
94,98,402328100,-1
82,104,402328117,1
78,102,402328155,1
91,100,402328168,-1
67,139,402328169,-1
75,102,402328211,1
76,103,402328250,1
88,101,402328282,1
55,69,402328290,1
82,101,402328309,1
73,160,402328331,-1
